"PSPath","PSDrive","PSProvider","PSIsContainer","Name","Key","Value"
"Microsoft.PowerShell.Core\Environment::ALLUSERSPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","ALLUSERSPROFILE","ALLUSERSPROFILE","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::APPDATA","Env","Microsoft.PowerShell.Core\Environment","False","APPDATA","APPDATA","C:\Users\CVilanova\AppData\Roaming"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles","CommonProgramFiles","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramFiles(x86)","CommonProgramFiles(x86)","C:\Program Files (x86)\Common Files"
"Microsoft.PowerShell.Core\Environment::CommonProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","CommonProgramW6432","CommonProgramW6432","C:\Program Files\Common Files"
"Microsoft.PowerShell.Core\Environment::COMPUTERNAME","Env","Microsoft.PowerShell.Core\Environment","False","COMPUTERNAME","COMPUTERNAME","DESKTOP-MO2MOS1"
"Microsoft.PowerShell.Core\Environment::ComSpec","Env","Microsoft.PowerShell.Core\Environment","False","ComSpec","ComSpec","C:\WINDOWS\system32\cmd.exe"
"Microsoft.PowerShell.Core\Environment::DriverData","Env","Microsoft.PowerShell.Core\Environment","False","DriverData","DriverData","C:\Windows\System32\Drivers\DriverData"
"Microsoft.PowerShell.Core\Environment::HOMEDRIVE","Env","Microsoft.PowerShell.Core\Environment","False","HOMEDRIVE","HOMEDRIVE","C:"
"Microsoft.PowerShell.Core\Environment::HOMEPATH","Env","Microsoft.PowerShell.Core\Environment","False","HOMEPATH","HOMEPATH","\Users\CVilanova"
"Microsoft.PowerShell.Core\Environment::LOCALAPPDATA","Env","Microsoft.PowerShell.Core\Environment","False","LOCALAPPDATA","LOCALAPPDATA","C:\Users\CVilanova\AppData\Local"
"Microsoft.PowerShell.Core\Environment::LOGONSERVER","Env","Microsoft.PowerShell.Core\Environment","False","LOGONSERVER","LOGONSERVER","\\DESKTOP-MO2MOS1"
"Microsoft.PowerShell.Core\Environment::NUMBER_OF_PROCESSORS","Env","Microsoft.PowerShell.Core\Environment","False","NUMBER_OF_PROCESSORS","NUMBER_OF_PROCESSORS","8"
"Microsoft.PowerShell.Core\Environment::OneDrive","Env","Microsoft.PowerShell.Core\Environment","False","OneDrive","OneDrive","C:\Users\CVilanova\OneDrive"
"Microsoft.PowerShell.Core\Environment::OS","Env","Microsoft.PowerShell.Core\Environment","False","OS","OS","Windows_NT"
"Microsoft.PowerShell.Core\Environment::Path","Env","Microsoft.PowerShell.Core\Environment","False","Path","Path","C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Users\CVilanova\AppData\Local\Microsoft\WindowsApps;"
"Microsoft.PowerShell.Core\Environment::PATHEXT","Env","Microsoft.PowerShell.Core\Environment","False","PATHEXT","PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_ARCHITECTURE","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_ARCHITECTURE","PROCESSOR_ARCHITECTURE","AMD64"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_IDENTIFIER","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_IDENTIFIER","PROCESSOR_IDENTIFIER","Intel64 Family 6 Model 186 Stepping 3, GenuineIntel"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_LEVEL","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_LEVEL","PROCESSOR_LEVEL","6"
"Microsoft.PowerShell.Core\Environment::PROCESSOR_REVISION","Env","Microsoft.PowerShell.Core\Environment","False","PROCESSOR_REVISION","PROCESSOR_REVISION","ba03"
"Microsoft.PowerShell.Core\Environment::ProgramData","Env","Microsoft.PowerShell.Core\Environment","False","ProgramData","ProgramData","C:\ProgramData"
"Microsoft.PowerShell.Core\Environment::ProgramFiles","Env","Microsoft.PowerShell.Core\Environment","False","ProgramFiles","ProgramFiles","C:\Program Files"
"Microsoft.PowerShell.Core\Environment::ProgramFiles(x86)","Env","Microsoft.PowerShell.Core\Environment","False","ProgramFiles(x86)","ProgramFiles(x86)","C:\Program Files (x86)"
"Microsoft.PowerShell.Core\Environment::ProgramW6432","Env","Microsoft.PowerShell.Core\Environment","False","ProgramW6432","ProgramW6432","C:\Program Files"
"Microsoft.PowerShell.Core\Environment::PSModulePath","Env","Microsoft.PowerShell.Core\Environment","False","PSModulePath","PSModulePath","C:\Users\CVilanova\Documents\WindowsPowerShell\Modules;C:\Program Files\WindowsPowerShell\Modules;C:\WINDOWS\system32\WindowsPowerShell\v1.0\Modules"
"Microsoft.PowerShell.Core\Environment::PUBLIC","Env","Microsoft.PowerShell.Core\Environment","False","PUBLIC","PUBLIC","C:\Users\Public"
"Microsoft.PowerShell.Core\Environment::SESSIONNAME","Env","Microsoft.PowerShell.Core\Environment","False","SESSIONNAME","SESSIONNAME","Console"
"Microsoft.PowerShell.Core\Environment::SystemDrive","Env","Microsoft.PowerShell.Core\Environment","False","SystemDrive","SystemDrive","C:"
"Microsoft.PowerShell.Core\Environment::SystemRoot","Env","Microsoft.PowerShell.Core\Environment","False","SystemRoot","SystemRoot","C:\WINDOWS"
"Microsoft.PowerShell.Core\Environment::TEMP","Env","Microsoft.PowerShell.Core\Environment","False","TEMP","TEMP","C:\Users\CVILAN~1\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::TMP","Env","Microsoft.PowerShell.Core\Environment","False","TMP","TMP","C:\Users\CVILAN~1\AppData\Local\Temp"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN","USERDOMAIN","DESKTOP-MO2MOS1"
"Microsoft.PowerShell.Core\Environment::USERDOMAIN_ROAMINGPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERDOMAIN_ROAMINGPROFILE","USERDOMAIN_ROAMINGPROFILE","DESKTOP-MO2MOS1"
"Microsoft.PowerShell.Core\Environment::USERNAME","Env","Microsoft.PowerShell.Core\Environment","False","USERNAME","USERNAME","CVilanova"
"Microsoft.PowerShell.Core\Environment::USERPROFILE","Env","Microsoft.PowerShell.Core\Environment","False","USERPROFILE","USERPROFILE","C:\Users\CVilanova"
"Microsoft.PowerShell.Core\Environment::windir","Env","Microsoft.PowerShell.Core\Environment","False","windir","windir","C:\WINDOWS"
"Microsoft.PowerShell.Core\Environment::WSLENV","Env","Microsoft.PowerShell.Core\Environment","False","WSLENV","WSLENV","WT_SESSION:WT_PROFILE_ID:"
"Microsoft.PowerShell.Core\Environment::WT_PROFILE_ID","Env","Microsoft.PowerShell.Core\Environment","False","WT_PROFILE_ID","WT_PROFILE_ID","{61c54bbd-c2c6-5271-96e7-009a87ff44bf}"
"Microsoft.PowerShell.Core\Environment::WT_SESSION","Env","Microsoft.PowerShell.Core\Environment","False","WT_SESSION","WT_SESSION","cf55c9a6-ee66-42ff-b3c7-c8142ade011d"
